        1000	
           1	
N
     144.13	
S
     760.45	
(  5.28)	
N
     153.85	
S
     754.72	
(  4.91)
        2000	
           1	
N
     124.30	
S
     667.56	
(  5.37)	
N
     127.66	
S
     709.22	
(  5.56)
        4000	
           1	
N
     173.25	
S
     947.64	
(  5.47)	
N
     188.17	
S
     955.11	
(  5.08)
        8000	
           1	
N
     133.78	
S
     784.16	
(  5.86)	
N
     155.04	
S
     784.93	
(  5.06)
       16000	
           1	
N
     164.57	
S
     896.36	
(  5.45)	
N
     188.36	
S
     956.31	
(  5.08)
       32000	
           1	
N
     154.38	
S
     837.19	
(  5.42)	
N
     199.47	
S
    1013.81	
(  5.08)
       64000	
           1	
N
     174.59	
S
    1003.06	
(  5.75)	
N
     232.71	
S
    1183.83	
(  5.09)
      128000	
           1	
N
     328.20	
S
    1673.16	
(  5.10)	
N
     354.48	
S
    1797.58	
(  5.07)
      256000	
           1	
N
     326.51	
S
    1668.90	
(  5.11)	
N
     354.48	
S
    1498.79	
(  4.23)
      512000	
           1	
N
     323.90	
S
    1668.99	
(  5.15)	
N
     353.78	
S
    1785.70	
(  5.05)
     1024000	
           1	
N
     301.46	
S
    1588.49	
(  5.27)	
N
     331.44	
S
    1783.97	
(  5.38)
     2048000	
           1	
N
     275.14	
S
     994.15	
(  3.61)	
N
     300.65	
S
    1545.79	
(  5.14)
     4096000	
           1	
N
     275.15	
S
     892.17	
(  3.24)	
N
     289.19	
S
    1524.72	
(  5.27)
     8000000	
           1	
N
     287.88	
S
     868.83	
(  3.02)	
N
     301.94	
S
    1433.40	
(  4.75)
        1000	
           2	
N
     205.55	
S
     738.55	
(  3.59)	
N
     219.64	
S
    1075.27	
(  4.90)
        2000	
           2	
N
     174.89	
S
     744.05	
(  4.25)	
N
     187.78	
S
     941.62	
(  5.01)
        4000	
           2	
N
     193.40	
S
     957.63	
(  4.95)	
N
     210.32	
S
    1067.24	
(  5.07)
        8000	
           2	
N
     133.41	
S
     723.92	
(  5.43)	
N
     143.97	
S
     729.20	
(  5.07)
       16000	
           2	
N
     154.58	
S
     826.36	
(  5.35)	
N
     177.27	
S
     900.50	
(  5.08)
       32000	
           2	
N
     303.24	
S
    1180.11	
(  3.89)	
N
     354.52	
S
    1680.23	
(  4.74)
       64000	
           2	
N
     321.14	
S
    1320.21	
(  4.11)	
N
     354.66	
S
    1756.79	
(  4.95)
      128000	
           2	
N
     168.48	
S
     931.15	
(  5.53)	
N
     232.61	
S
    1184.71	
(  5.09)
      256000	
           2	
N
     243.55	
S
    1202.67	
(  4.94)	
N
     329.52	
S
    1783.34	
(  5.41)
      512000	
           2	
N
     301.18	
S
    1534.36	
(  5.09)	
N
     306.67	
S
    1618.83	
(  5.28)
     1024000	
           2	
N
     248.69	
S
    1401.98	
(  5.64)	
N
     286.74	
S
    1508.31	
(  5.26)
     2048000	
           2	
N
     256.22	
S
     877.54	
(  3.42)	
N
     299.89	
S
    1531.25	
(  5.11)
     4096000	
           2	
N
     279.36	
S
     763.49	
(  2.73)	
N
     305.86	
S
    1466.23	
(  4.79)
     8000000	
           2	
N
     272.15	
S
     747.80	
(  2.75)	
N
     316.72	
S
    1374.65	
(  4.34)
        1000	
           4	
N
     270.05	
S
     753.01	
(  2.79)	
N
     291.54	
S
    1434.70	
(  4.92)
        2000	
           4	
N
     143.89	
S
     664.45	
(  4.62)	
N
     154.54	
S
     774.59	
(  5.01)
        4000	
           4	
N
     205.76	
S
     820.18	
(  3.99)	
N
     221.34	
S
    1122.34	
(  5.07)
        8000	
           4	
N
     282.91	
S
    1617.79	
(  5.72)	
N
     320.86	
S
    1625.03	
(  5.06)
       16000	
           4	
N
     183.23	
S
     849.44	
(  4.64)	
N
     199.41	
S
    1011.95	
(  5.07)
       32000	
           4	
N
     215.82	
S
     912.88	
(  4.23)	
N
     243.76	
S
    1520.84	
(  6.24)
       64000	
           4	
N
     292.72	
S
    1504.71	
(  5.14)	
N
     321.34	
S
    1633.61	
(  5.08)
      128000	
           4	
N
     295.03	
S
    1368.18	
(  4.64)	
N
     321.27	
S
    1564.89	
(  4.87)
      256000	
           4	
N
     279.35	
S
    1467.43	
(  5.25)	
N
     316.61	
S
    1676.06	
(  5.29)
      512000	
           4	
N
     268.83	
S
    1383.44	
(  5.15)	
N
     298.92	
S
    1561.32	
(  5.22)
     1024000	
           4	
N
     267.48	
S
    1428.87	
(  5.34)	
N
     292.92	
S
    1496.78	
(  5.11)
     2048000	
           4	
N
     262.74	
S
     943.04	
(  3.59)	
N
     289.57	
S
    1619.33	
(  5.59)
     4096000	
           4	
N
     253.15	
S
     850.12	
(  3.36)	
N
     305.91	
S
    1296.20	
(  4.24)
     8000000	
           4	
N
     271.49	
S
     864.73	
(  3.19)	
N
     294.39	
S
    1304.37	
(  4.43)
        1000	
           6	
N
     239.52	
S
     998.00	
(  4.17)	
N
     278.71	
S
