        1000
N
     123.76
S
     649.35
(  5.25)
N
     131.75
S
     645.16
(  4.90)
        2000
N
     121.21
S
     667.33
(  5.51)
N
     132.48
S
     665.11
(  5.02)
        4000
N
     123.29
S
     661.49
(  5.37)
N
     132.73
S
     673.74
(  5.08)
        8000
N
     123.92
S
     727.87
(  5.87)
N
     143.97
S
     729.33
(  5.07)
       16000
N
     134.22
S
     731.56
(  5.45)
N
     155.13
S
     787.87
(  5.08)
       32000
N
     144.38
S
     779.54
(  5.40)
N
     177.29
S
     900.50
(  5.08)
       64000
N
     164.89
S
     949.03
(  5.76)
N
     221.61
S
    1127.51
(  5.09)
      128000
N
     194.94
S
    1154.23
(  5.92)
N
     354.54
S
    1804.90
(  5.09)
      256000
N
     327.10
S
    1671.84
(  5.11)
N
     354.50
S
    1791.85
(  5.05)
      512000
N
     325.32
S
    1608.88
(  4.95)
N
     352.25
S
    1757.43
(  4.99)
     1024000
N
     327.83
S
    1673.33
(  5.10)
N
     354.04
S
    1795.81
(  5.07)
     2048000
N
     321.12
S
    1161.50
(  3.62)
N
     353.70
S
    1780.06
(  5.03)
     4096000
N
     317.26
S
     951.50
(  3.00)
N
     348.66
S
    1671.85
(  4.80)
